kecerahan;Kekeruhan;ph;suhu;salinitas;tss;bod5;do;m&l;coliform;no3n;orthophospate;class
6.4;2;7.5;31.6;26.2;44;2.16;4.8;1;70;0.446;0.03;Layak
4.8;2.16;8;31.3;27.8;44;2.46;4.3;0.8;70;0.005;0.018;Layak
2.2;3.5;7.5;29.8;32.7;44.8;2.76;4.8;0.6;93;0.005;0.018;Layak
3;3.72;7.6;29.8;24.6;44.1;2.31;5;0.6;220;0.004;0.15;Tidak Layak
2;4.15;7.3;29;20.4;44.8;2.76;4.3;0.8;330;0.004;1.87;Tidak Layak
3;4.52;7.8;33.5;26.7;41.9;2.46;4.3;0.8;280;0.004;3.39;Tidak Layak
2.1;4.13;7.5;32.8;24;44;2.16;4.8;0.6;110;0.004;0.09;Tidak Layak
2.6;3.56;7.6;32.3;18.8;43.4;2.31;4.5;0.8;110;0.004;0.29;Tidak Layak
1.7;6.32;7.8;31.5;29.4;47.6;2.61;4;0.8;350;0.004;0.07;Tidak Layak
2;5.58;7.8;29.8;22.7;34.2;2.61;4.1;0.8;140;0.005;2.72;Tidak Layak
1.8;6.15;7.7;30.2;23.8;36.7;2.31;4.6;1;210;0.004;1.59;Tidak Layak
5;2.31;7.6;29.8;24.5;35.9;2.91;4.4;0.8;170;0.005;0.33;Tidak Layak
2.1;3.41;7.6;30.7;29.7;43.9;2.31;4.8;0.8;46;0.005;0.21;Layak
3.4;3.26;7.5;30;28.3;44.5;2.76;4.7;0.6;49;0.004;0.07;Layak
2.4;3.72;7.8;30.9;27.5;36.7;2.76;4.3;0.8;94;0.004;0.06;Layak
3.4;3.1;7.8;32.7;22.1;38.5;2.46;5;0.6;130;0.004;0.02;Tidak Layak
1.8;3.05;8;32.8;21;42.2;2.76;4.8;0.8;140;0.005;3.18;Tidak Layak
3.2;2.46;7.5;32.5;22.1;43.9;2.76;4.6;0.6;140;0.004;0.35;Tidak Layak
5.2;2.71;7.6;30.6;27;36.7;2.46;4.3;0.6;800;0.004;0.1;Tidak Layak
5.2;2.65;7.7;30.7;27;40.8;2.46;4.6;0.6;70;0.424;3.46;Tidak Layak
5.4;2.41;7.6;30.1;25.9;42.5;2.61;4.5;1;49;0.005;2.26;Tidak Layak
7.5;2.35;7.5;29.7;23.9;43.9;2.46;4.9;1;94;0.372;0.04;Layak
6.4;2;7.5;31.6;26.2;44;2.16;4.8;1;70;0.446;0.03;Layak
4.8;2.16;8;31.3;27.8;44;2.46;4.3;0.8;70;0.005;0.018;Layak
2.2;3.5;7.5;29.8;32.7;44.8;2.76;4.8;0.6;93;0.005;0.018;Layak
3;3.72;7.6;29.8;24.6;44.1;2.31;5;0.6;220;0.004;0.15;Tidak Layak
2;4.15;7.3;29;20.4;44.8;2.76;4.3;0.8;330;0.004;1.87;Tidak Layak
3;4.52;7.8;33.5;26.7;41.9;2.46;4.3;0.8;280;0.004;3.39;Tidak Layak
2.1;4.13;7.5;32.8;24;44;2.16;4.8;0.6;110;0.004;0.09;Tidak Layak
2.6;3.56;7.6;32.3;18.8;43.4;2.31;4.5;0.8;110;0.004;0.29;Tidak Layak
1.7;6.32;7.8;31.5;29.4;47.6;2.61;4;0.8;350;0.004;0.07;Tidak Layak
2;5.58;7.8;29.8;22.7;34.2;2.61;4.1;0.8;140;0.005;2.72;Tidak Layak
1.8;6.15;7.7;30.2;23.8;36.7;2.31;4.6;1;210;0.004;1.59;Tidak Layak
5;2.31;7.6;29.8;24.5;35.9;2.91;4.4;0.8;170;0.005;0.33;Tidak Layak
2.1;3.41;7.6;30.7;29.7;43.9;2.31;4.8;0.8;46;0.005;0.21;Layak
3.4;3.26;7.5;30;28.3;44.5;2.76;4.7;0.6;49;0.004;0.07;Layak
2.4;3.72;7.8;30.9;27.5;36.7;2.76;4.3;0.8;94;0.004;0.06;Layak
3.4;3.1;7.8;32.7;22.1;38.5;2.46;5;0.6;130;0.004;0.02;Tidak Layak
1.8;3.05;8;32.8;21;42.2;2.76;4.8;0.8;140;0.005;3.18;Tidak Layak
3.2;2.46;7.5;32.5;22.1;43.9;2.76;4.6;0.6;140;0.004;0.35;Tidak Layak
5.2;2.71;7.6;30.6;27;36.7;2.46;4.3;0.6;800;0.004;0.1;Tidak Layak
5.2;2.65;7.7;30.7;27;40.8;2.46;4.6;0.6;70;0.424;3.46;Tidak Layak
5.4;2.41;7.6;30.1;25.9;42.5;2.61;4.5;1;49;0.005;2.26;Tidak Layak
7.5;2.35;7.5;29.7;23.9;43.9;2.46;4.9;1;94;0.372;0.04;Layak
